id,signal_id,sender,message,timestamp,qualification_score,qualification_reason,pradeep review comments - yes / no
f5e71523-77d7-4c8a-b066-c035fda52286,8883,WhatsApp: Harish,Exploratory data analysis,2026-07-01T16:11:04.435+00:00,40,review_needed,No
cbf51e32-8d5f-4ee5-90d7-e415370740dc,8869,WhatsApp: Shobana,Hello are you there,2026-07-01T04:34:08.13+00:00,40,review_needed,No
ae19e7f0-2977-4003-83dc-33c60e2ef281,8881,WhatsApp: Harish,I created front end app and back end app in just one day,2026-07-01T16:10:47.098+00:00,40,review_needed,No
4430624c-613a-426f-9367-1e514109c8bc,8882,WhatsApp: Harish,Infact 2 hrs,2026-07-01T16:10:53.782+00:00,40,review_needed,No
f89e5aa9-df38-43ac-bd3c-d46de1d019c6,8857,Daily Badminton Update: ~ Venkat Kumar,Anyone coming today?!,2026-07-01T00:50:58.658+00:00,40,review_needed,No
9b01a51e-8f83-442e-9fa9-fe1886131b3e,8858,Daily Badminton Update (2 messages): ~ Imtiaz,Am in the court,2026-07-01T01:09:04.322+00:00,40,review_needed,No
4f9272da-edba-44c1-8d3d-94fb5a8a3eea,8859,WhatsApp: Nag Sittapa Alt,📷 Photo,2026-07-01T02:22:12.411+00:00,40,review_needed,No
3df0948b-eac5-4df8-94a2-7c6512a5aa39,8860,Nag Sittapa Alt,📷 Photo,2026-07-01T02:22:12.417+00:00,40,review_needed,No
b2eb3a68-e73b-479a-8260-90742b4d03b2,8861,St.Thomas Main Group: ~ Ghajesh S,Doctor's day wishes to all docs 🙏👍,2026-07-01T02:50:09.733+00:00,30,group_message,No
0c93abc9-7357-4171-a7cd-38ae3ceb68a8,8862,WhatsApp: Manoj Badminton Owner,"Reacted 👍 to ""📷 Pradeep 7 am batch july month membership""",2026-07-01T03:03:23.809+00:00,40,review_needed,No
fddd6948-b366-4457-bd4e-72f11977919c,8863,Manoj Badminton Owner: Manoj Badminton Owner,"Reacted 👍 to ""📷 Pradeep 7 am batch july month membership""",2026-07-01T03:03:23.814+00:00,40,review_needed,No
f63a9f9f-d9e9-4bdb-aff2-21ff775abb4b,8864,St.Thomas Main Group (2 messages): Bala narayanan,📷 Photo,2026-07-01T03:43:32.426+00:00,30,group_message,No
be363529-f9ed-4ca6-aaa2-bb4f60064f31,8865,St.Thomas Main Group: Bala narayanan,📷 Photo,2026-07-01T03:43:32.43+00:00,30,group_message,No
699e77d1-bf64-4780-919b-a7a2ab15aa64,8866,St.Thomas Main Group (2 messages): Bala narayanan,Happy Doctors' Day wishes 💐,2026-07-01T03:43:32.451+00:00,30,group_message,No
00f29dd5-b350-479d-a7b9-8e2b510266d7,8870,SRI PATATHUARASI AMMAN FLAT (2 messages): Karthick Munna T2,Hi,2026-07-01T06:51:53.069+00:00,40,review_needed,No
84527cce-b8e9-43da-a49f-821915adb016,8871,SRI PATATHUARASI AMMAN FLAT: Karthick Munna T2,Hi,2026-07-01T06:51:53.073+00:00,40,review_needed,No
740a078a-8e5d-4c31-8d88-85fce9a953d8,8872,SRI PATATHUARASI AMMAN FLAT (2 messages): Karthick Munna T2,Good afternoon,2026-07-01T06:51:53.108+00:00,40,review_needed,Yes - FYI 
059672c3-626c-4849-9e07-a94aba002670,8873,SRI PATATHUARASI AMMAN FLAT (3 messages): Karthick Munna T2,"T2 is given for rent, and the tenant will be shifting it today. Just got confirmation from the tenant. Please do the needful if they require any support.",2026-07-01T06:53:29.167+00:00,40,review_needed,Yes - FYI 
06cfd265-5f65-4f0f-a49f-72f1dc4dd06c,8874,SRI PATATHUARASI AMMAN FLAT (4 messages): Karthick Munna T2,The tenant's name is Abdul Rahman.,2026-07-01T06:54:18.583+00:00,40,review_needed,No
0284d0b5-29fb-42d2-81be-e900674e1997,8875,St.Thomas Main Group: ~ ajit_s_fdo,👾 GIF,2026-07-01T07:31:55.996+00:00,30,group_message,No
faae6292-a128-48e3-92e0-6035d6f17f45,8876,St.Thomas Main Group (2 messages): ~ ajit_s_fdo,Happy Doctor's day,2026-07-01T07:31:57.32+00:00,30,group_message,No
a5a9b100-7e7d-4306-987f-abe5bbfdb4bd,8884,WhatsApp: Harish,Mind blowing,2026-07-01T16:11:08.586+00:00,40,review_needed,No
0acded7c-2670-4eca-b165-103fc903c75c,8886,Daily Badminton Update: ~ Imtiaz,I will be in at 7.10 am today,2026-07-02T01:17:47.974+00:00,40,review_needed,No
fbea7a80-6215-4cdf-94a1-0f9196cdf8f1,8887,Nag Sittapa Alt,📷 Photo,2026-07-02T02:44:49.353+00:00,40,review_needed,No
7f2f1717-b3e4-458a-91e8-caf165b26e5d,8888,Harish,📷 Photo,2026-07-02T03:25:22.768+00:00,40,review_needed,No
7ee40836-73dc-448c-858a-8e6051562866,8889,Downloading video,from Harish,2026-07-02T03:25:28.029+00:00,40,review_needed,No
69b1025a-0597-4561-9680-5889b4bac161,8891,Family 🙂: Aappa,📷 2 photos,2026-07-02T05:57:12.2+00:00,40,review_needed,No
b11a623d-5a3f-48b3-862c-92d5fbfd88ee,8901,Harish,Nothing to worry now,2026-07-02T09:57:03.747+00:00,40,review_needed,No
b7e31a33-f9ce-4cf6-b1b6-2b4998eea07c,8902,Harish,📷 Photo,2026-07-02T09:57:03.596+00:00,40,review_needed,No
d63a1e72-02a5-4a72-b390-9931a01e1510,8903,Harish,This has gone down to intestine,2026-07-02T09:57:03.793+00:00,40,review_needed,Yes FYI
5b93c315-1483-462d-b772-5f3aa0a06c25,8905,Senthil RFC,👍,2026-07-02T11:09:53.85+00:00,40,review_needed,No
e846825b-0dc4-4092-87a6-2f5295d277d1,8908,Shobana,Buy milk pa,2026-07-02T14:21:46.234+00:00,40,review_needed,Yes - To-Do
36843eb4-64b9-4f1a-a017-2e18b3132b13,8909,Harish,📷 Photo,2026-07-02T15:53:44.777+00:00,40,review_needed,No
48c37912-c280-4c74-80f1-c110941b778d,8910,Harish,Still in there but made progress,2026-07-02T15:53:44.827+00:00,40,review_needed,No
b4073154-1166-4d57-948f-ed68ec98baed,8911,Harish,📷 Photo,2026-07-02T16:01:45.501+00:00,40,review_needed,No
16587148-f11a-4f4e-a775-5e8fcdd1ef15,8913,Daily Badminton Update: ~ Imtiaz,Guys today will be be same time,2026-07-03T01:17:55.173+00:00,40,review_needed,No
fc9d379c-d2d4-4943-9b69-ad2998cccaa0,8914,Daily Badminton Update (2 messages): ~ Arun Kumar,👍🏻,2026-07-03T01:25:13.914+00:00,40,review_needed,No
a10d6bff-d880-4f1c-b2bf-c027f7846f60,8915,Nag Sittapa Alt,📷 Photo,2026-07-03T03:10:08.42+00:00,40,review_needed,No
9a13e4ed-1bef-4990-83dc-eedbd3bde962,8918,RTF 1☺️☺️: Anusha Sampat Times Kids,📷 Photo,2026-07-03T10:13:27.902+00:00,40,review_needed,No
6e0fcf54-d607-4fab-b69c-48d2d42d9b94,8919,Harish,Colonoscopy tomorrow mostly,2026-07-03T13:07:26.868+00:00,40,review_needed,Yes - FYI 
5f066c7e-30b0-4afc-ae77-d72634cc18aa,8923,Shobana,📄 2282/1423-202607031304533.pdf,2026-07-03T13:36:05.599+00:00,40,review_needed,Yes - FYI 
bf01390e-ed95-4dec-ac9e-e791780f2a11,8924,Shobana,📄 2282/1429-202607031303542.pdf,2026-07-03T13:38:09.178+00:00,40,review_needed,Yes - FYI 
82dca625-8c51-4353-a1fd-bea5a3d6ce6b,8925,Daily Badminton Update: ~ santhosh rao,Tomorrow morning 6.30am?,2026-07-03T14:52:05.564+00:00,40,review_needed,No
bb628bae-a2b3-486e-88bb-1111ce666824,8926,Daily Badminton Update: ~ Arun Kumar,Yes,2026-07-03T14:52:51.511+00:00,40,review_needed,No
ce4c0cfb-27ec-4e80-8eda-a0f5ff026a84,8927,Daily Badminton Update (2 messages): ~ Arun Kumar,Anna,2026-07-03T14:52:53.027+00:00,40,review_needed,No
c2b25a97-20e5-4a60-8e4e-602c58d47d72,8931,Shobana,📷 Photo,2026-07-03T15:40:20.829+00:00,40,review_needed,Yes - FYI 
5310175b-5bb0-492f-b171-f679133e7bf3,8932,Daily Badminton Update: ~ Imtiaz,Sure,2026-07-03T16:36:56.171+00:00,40,review_needed,No
